AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,CA,CELG,CERN,CMCSA,COST,CSCO,CSX,CTRP,CTSH,DISCA,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FOX,FOXA,GILD,GOOGL,INTC,JD,KHC,LBTYA,LBTYK,LRCX,MAR,MAT,MCHP,MDLZ,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTAP,NVDA,NXPI,PAYX,PCAR,PYPL,QCOM,QVCA,ROST,SBUX,SIRI,STX,SWKS,SYMC,TMUS,TRIP,TSCO,TSLA,TXN,VIAB,VOD,VRTX,WBA,WDC,WFM,XLNX,YHOO,NDX
36.14,97.24,97.985,61.81,95.84,58.34,58.24,126.645,26.63,166.25,739.38,42.43,162.7,44.07,162.19,288.14,34.61,106.23,61.91,67.39,168.405,30.985,28.395,43.87,58.68,25.38,52.43,97.06,77.03,31.11,76.96,118.28,41.99,121.86,27.45,26.87,82.455,756.23,34.89,22.05,88.47,31.1375,30.31,90.6,71.22,32.92,55.03,45.69,56.92,14.02,39.26,47.51,42,92.68,26.46,56.41,85.62,61.12,56.53,38.14,61.04,26.67,61.63,58.46,4.24,31.305,65.09,20.34,44.74,70.17,91.675,226.9164,69.9892,45.09,31.25,94.74,81.47,52.53,34.23,48.77,38.505,4671.472
36.21,97.3699,97.9792,61.84,95.83,58.385,58.3,126.67,26.63,166.555,739.8,42.38,162.76,44.12,162.385,287.322,34.65,106.51,61.96,67.355,168.34,31,28.44,43.92,58.66,25.45,52.49,97.11,77.29,31.1633,76.96,118.59,42,121.7399,27.5,26.915,82.56,756.52,34.8484,22.06,88.53,31.26,30.44,90.77,71.34,32.94,55.16,45.7,56.8999,14.0893,39.3,47.53,42,92.62,26.49,56.44,85.995,61.08,57.04,38.1801,61.09,26.7,61.62,58.59,4.26,31.4,65.1,20.35,44.74,70.47,91.78,227.47,70.17,45.16,31.29,95.03,81.48,52.6,34.215,48.78,38.58,4674.506
36.08,97.35,97.98,61.85,95.81,58.38,58.29,126.35,26.65,166.49,739.5822,42.23,162.5407,44.11,162.235,287.346,34.61,106.42,61.96,67.34,168.51,31,28.43,43.95,58.66,25.44,52.53,97.15,77.11,31.17,76.685,118.27,41.96,121.55,27.4726,26.9,82.72,756.38,34.86,22.01,88.56,31.21,30.4,90.65,71.26,32.94,55.18,45.71,56.895,14.1,39.23,47.42,41.93,92.02,26.48,56.45,86.2,61.1,56.97,38.1,61.14,26.6901,61.5607,58.51,4.255,31.4105,65.07,20.365,44.7,70.37,91.785,227.3608,70.18,45.09,31.27,94.91,81.5,52.59,34.22,48.71,38.52,4672.546
36.1,97.27,97.96,61.93,95.81,58.36,58.36,126.29,26.67,166.8595,739.459,42.14,162.425,44.1,162.14,287.465,34.59,106.62,61.88,67.33,168.406,31.01,28.44,43.93,58.61,25.43,52.61,97.24,76.95,31.185,76.9,118.37,41.93,121.66,27.51,26.925,83,755.81,34.85,22,88.53,31.21,30.38,90.66,71.31,32.97,55.19,45.67,56.84,14.1201,39.23,47.41,41.94,91.765,26.48,56.39,86.45,61.06,57.02,38.135,61.2192,26.69,61.51,58.49,4.27,31.5099,65.14,20.37,44.73,70.44,91.75,227.24,70.32,45.11,31.2601,95.1,81.51,52.67,34.23,48.83,38.54,4672.679
36.16,97.32,97.8807,62.06,95.89,58.455,58.34,126.225,26.67,166.87,739.1,42.09,162.7,44.13,162.3,287.73,34.59,106.7796,61.9436,67.325,168.46,30.9982,28.42,43.94,58.64,25.46,52.73,97.385,76.85,31.1311,77.27,118.3895,41.96,121.65,27.51,26.935,82.75,756.54,34.9,22.05,88.549,31.22,30.4,90.67,71.285,32.99,55.235,45.59,56.84,14.17,39.26,47.48,42,92.26,26.49,56.44,86.4,61.11,57.05,38.12,61.22,26.7,61.5,58.48,4.29,31.509,65.14,20.35,44.75,70.34,91.79,228.005,70.445,45.12,31.25,95.04,81.48,52.8,34.19,48.93,38.56,4673.773
36.16,97.46,98.02,62.06,95.85,58.53,58.415,126.53,26.71,166.83,738.97,42.1,162.82,44.17,162.35,287.97,34.61,107.17,61.9259,67.335,168.4,31.025,28.41,43.95,58.68,25.485,52.64,97.415,77.04,31.18,77.29,118.4,42.05,121.765,27.54,26.95,82.37,756.67,34.935,22.09,88.5216,31.23,30.42,90.76,71.3,32.99,55.38,45.58,56.825,14.24,39.31,47.49,41.99,92.26,26.53,56.56,86.47,61.13,57.22,38.135,61.24,26.71,61.44,58.5,4.295,31.52,65.25,20.36,44.87,70.4901,91.83,228.599,70.56,45.19,31.26,95.025,81.53,52.87,34.21,48.99,38.59,4676.43
36.0734,97.4,98.1075,62.07,95.9101,58.56,58.33,126.74,26.71,166.92,739.5,42.16,163.29,44.1575,162.36,287.7054,34.58,106.95,61.91,67.32,168.52,31.0236,28.445,43.925,58.65,25.51,52.7,97.38,76.99,31.17,77.27,118.4818,42.09,121.6901,27.52,26.935,82.358,756.4568,34.93,22.1,88.52,31.3,30.505,90.6,71.34,33.04,55.415,45.6,56.79,14.215,39.31,47.4,42.06,92.43,26.51,56.581,86.395,61.19,57.06,38.23,61.29,26.7,61.52,58.5011,4.295,31.54,65.4,20.36,44.86,70.57,91.85,228.29,70.61,45.21,31.24,95.19,81.58,52.94,34.32,48.96,38.615,4677.167
36.04,97.49,98.24,62.13,95.98,58.6,58.32,126.5,26.69,167,739,42.1689,163.3,44.2175,162.61,287.7,34.58,106.82,61.96,67.32,168.4,31.04,28.47,43.94,58.66,25.485,52.7,97.33,76.96,31.12,77.46,118.55,42.12,121.5775,27.52,26.94,82.12,757.1,34.95,22.12,88.47,31.32,30.5,90.61,71.29,33.04,55.5,45.58,56.87,14.22,39.31,47.4,42,92.5,26.5,56.56,86.19,61.22,56.54,38.24,61.3,26.705,61.57,58.62,4.295,31.6,65.36,20.355,44.86,70.69,91.86,228.4298,70.65,45.2,31.2699,95.2,81.58,52.97,34.25,49.01,38.635,4677.582
36.07,97.49,98.34,62.05,95.95,58.665,58.23,126.51,26.68,167.16,738.65,42.16,163,44.24,162.74,287.95,34.59,106.83,61.9,67.32,168.45,31.045,28.5,43.95,58.7,25.49,52.75,97.31,76.95,31.0901,77.62,118.53,42.13,121.61,27.55,26.97,82.12,756.405,34.95,22.14,88.48,31.35,30.54,90.7276,71.25,33.05,55.51,45.53,56.89,14.23,39.3,47.36,42.08,92.37,26.5,56.475,86.32,61.21,56.51,38.24,61.33,26.705,61.58,58.65,4.305,31.58,65.332,20.34,44.89,70.66,91.87,227.67,70.62,45.19,31.26,95.16,81.585,52.88,34.2302,49.01,38.64,4677.685
36.06,97.5,98.29,62.09,95.96,58.75,58.17,126.93,26.69,167.51,739.2235,42.17,163,44.26,163.26,288.19,34.6,107,62.01,67.34,168.57,31.055,28.535,43.94,58.73,25.53,52.86,97.34,76.955,31.195,77.835,118.58,42.19,121.6318,27.6,27.015,82.3452,756.882,34.975,22.185,88.49,31.37,30.57,90.69,71.25,33.08,55.55,45.525,56.8508,14.285,39.29,47.42,42.09,92.59,26.5,56.53,86.43,61.22,56.54,38.24,61.3934,26.73,61.5875,58.7,4.3,31.585,65.22,20.36,44.97,70.6101,91.98,227.74,70.65,45.23,31.259,95.28,81.68,52.95,34.23,49.04,38.605,4680.184
36.05,97.6,98.37,62.07,95.98,58.8,58.17,127.12,26.68,167.89,739.01,42.14,162.935,44.26,162.97,288.39,34.61,107.2,62.11,67.34,168.62,31.02,28.55,43.945,58.74,25.52,52.945,97.45,76.97,31.215,77.82,118.51,42.23,121.68,27.59,27.02,82.44,756.905,34.97,22.19,88.48,31.38,30.6,90.52,71.14,33.05,55.515,45.51,56.9,14.27,39.3,47.43,42.02,92.51,26.51,56.51,86.4275,61.26,56.45,38.195,61.391,26.74,61.66,58.76,4.305,31.6125,65.225,20.365,44.99,70.6001,91.95,227.99,70.56,45.2,31.26,95.345,81.67,53.04,34.24,49.04,38.65,4681.667
36.09,97.7,98.39,62.1199,95.98,58.75,58.16,127.12,26.71,167.815,739.33,42.17,163.09,44.33,162.8332,288.06,34.63,107.28,62.1352,67.35,168.72,31.02,28.52,43.95,58.76,25.54,52.83,97.41,76.94,31.2,77.86,118.63,42.19,121.68,27.56,26.98,82.24,757.625,34.985,22.24,88.54,31.33,30.55,90.47,71.19,33.03,55.55,45.505,56.96,14.28,39.3,47.37,41.99,92.5999,26.51,56.5,86.5,61.25,56.53,38.1464,61.39,26.75,61.63,58.8,4.3099,31.6314,65.17,20.385,45,70.6397,91.87,228,70.4904,45.289,31.225,95.155,81.71,53,34.3,49.04,38.65,4682.866
36.03,97.74,98.31,62.16,95.97,58.79,58.17,126.76,26.71,167.8866,739.5416,42.17,163.17,44.33,162.69,287.955,34.62,107.535,62.12,67.33,168.73,31,28.49,43.91,58.7,25.53,52.81,97.32,77,31.19,78.01,118.65,42.19,121.76,27.54,26.96,82.09,758.29,35.0048,22.2493,88.57,31.33,30.55,90.49,71.14,32.9801,55.58,45.5,56.98,14.28,39.335,47.4,42.03,92.78,26.51,56.508,86.6,61.21,56.59,38.09,61.44,26.76,61.62,58.71,4.31,31.635,65.25,20.3742,45.04,70.67,91.72,226.6,70.5,45.28,31.2317,95.005,81.71,53.0851,34.29,49.07,38.66,4683.738
35.95,97.85,98.31,62.11,95.98,58.8,58.14,126.96,26.71,167.9052,739.68,42.15,163.18,44.35,162.75,287.895,34.64,107.61,62.144,67.33,168.77,31.05,28.48,43.87,58.7,25.53,52.75,97.32,77.02,31.21,78,118.42,42.17,121.78,27.52,26.93,82.015,758.11,35.01,22.27,88.54,31.31,30.53,90.535,71.24,32.975,55.6,45.45,56.99,14.2707,39.3,47.365,42.03,92.7,26.515,56.5,86.67,61.23,56.53,38.11,61.49,26.79,61.5766,58.66,4.295,31.5964,65.18,20.375,45.07,70.62,91.66,225.6817,70.46,45.23,31.24,95.07,81.7,53.05,34.26,49.05,38.69,4683.699
35.96,97.925,98.32,62.06,95.97,58.76,58.08,127.08,26.7,167.91,739.7425,42.14,163.18,44.41,162.7762,288.06,34.67,107.7,62.1056,67.32,168.81,31.07,28.49,43.875,58.71,25.53,52.79,97.3,76.96,31.22,78.08,118.4408,42.24,121.71,27.55,26.955,81.955,757.63,34.98,22.33,88.57,31.33,30.55,90.49,71.28,32.97,55.6,45.5,56.99,14.27,39.29,47.37,42.02,92.3786,26.52,56.5,86.66,61.21,56.62,38.1,61.41,26.77,61.59,58.7,4.295,31.6,65.1,20.37,45.05,70.579,91.7,226.445,70.39,45.24,31.23,95.17,81.73,53.03,34.26,49.01,38.69,4683.779
36.02,97.94,98.21,62.04,95.94,58.78,58.14,127.09,26.69,167.9,739.66,42.1,162.94,44.39,162.9,288.5,34.67,107.81,62.15,67.3,168.71,31.0736,28.49,43.9101,58.7,25.53,52.81,97.26,76.88,31.225,77.99,118.62,42.23,121.74,27.51,26.91,81.97,758.1,34.945,22.31,88.575,31.31,30.54,90.4,71.26,32.95,55.535,45.49,56.9925,14.29,39.27,47.36,42.04,92.56,26.54,56.4801,86.6201,61.1925,56.75,38.09,61.395,26.78,61.59,58.67,4.3,31.62,65.01,20.37,45.06,70.63,91.69,226.43,70.235,45.28,31.22,95.16,81.72,53.07,34.2592,48.98,38.695,4683.602
35.99,97.928,98.13,62.05,95.85,58.7,58.14,127.01,26.66,167.94,739.25,42.12,162.73,44.38,162.59,288.905,34.66,107.91,62.09,67.27,168.671,31.0643,28.46,43.945,58.68,25.52,52.76,97.27,76.87,31.195,78,118.6,42.17,121.7336,27.52,26.92,81.7593,757.99,34.95,22.28,88.57,31.28,30.52,90.45,71.24,32.94,55.51,45.475,56.99,14.3,39.285,47.32,42,92.491,26.555,56.485,86.6252,61.13,56.72,38.08,61.41,26.785,61.61,58.6101,4.295,31.59,64.9206,20.37,45.05,70.7,91.76,226.33,70.165,45.26,31.2035,95.265,81.76,53,34.2,48.96,38.695,4682.995
35.98,97.87,98.19,62.1272,95.77,58.72,58.17,127.13,26.63,167.95,739.68,42.12,162.72,44.405,162.68,288.98,34.64,107.86,62.045,67.275,168.72,31.0739,28.48,43.92,58.655,25.51,52.7499,97.25,76.91,31.13,77.97,118.62,42.12,121.7367,27.52,26.92,81.64,758.225,34.985,22.29,88.5576,31.27,30.51,90.53,71.3231,32.9,55.61,45.46,57.02,14.34,39.28,47.335,42.06,92.6101,26.57,56.57,86.6,61.07,56.74,38.1,61.46,26.7944,61.5825,58.645,4.306,31.62,64.96,20.37,45.03,70.8,91.77,226.51,70.335,45.29,31.2,95.25,81.85,52.98,34.2,49.03,38.66,4683.739
35.985,97.7486,98.34,62.22,95.78,58.77,58.165,126.89,26.64,167.76,739.91,42.13,162.95,44.4,162.875,288.8,34.63,107.64,62,67.31,168.78,31.06,28.47,43.92,58.685,25.505,52.67,97.23,76.87,31.155,77.9148,118.62,42.105,121.635,27.515,26.92,81.5349,758.29,35.01,22.2901,88.58,31.26,30.51,90.58,71.48,32.8612,55.646,45.5,57.06,14.34,39.29,47.3,42.05,92.64,26.56,56.615,86.72,61.0701,56.92,38.1,61.46,26.8,61.61,58.725,4.295,31.61,64.99,20.375,45,70.8926,91.7,226.715,70.38,45.29,31.2,95.1,81.91,52.91,34.14,49.1,38.69,4683.393
35.99,97.73,98.36,62.25,95.7601,58.78,58.2,126.925,26.665,167.61,739.93,42.16,163.19,44.3823,162.71,288.7,34.64,107.7,62.053,67.28,168.72,31.06,28.47,43.94,58.73,25.475,52.615,97.25,76.87,31.13,77.9,118.6,42.13,121.58,27.51,26.9,81.58,758.51,35.05,22.3201,88.58,31.27,30.51,90.64,71.545,32.86,55.62,45.56,57.05,14.39,39.2775,47.345,42.05,92.4458,26.57,56.69,86.58,61.095,56.95,38.1,61.49,26.81,61.63,58.7901,4.3001,31.62,65,20.39,44.9254,70.91,91.67,226.64,70.4262,45.28,31.18,95.12,81.91,52.985,34.16,49.085,38.67,4683.903
35.97,97.68,98.34,62.18,95.76,58.76,58.28,126.83,26.66,167.65,740.38,42.145,163,44.4,162.75,288.88,34.645,107.84,62.1,67.285,168.64,31.075,28.46,43.93,58.72,25.49,52.575,97.18,76.87,31.155,77.89,118.6,42.13,121.639,27.51,26.92,81.9299,758.215,35.035,22.33,88.57,31.29,30.53,90.615,71.53,32.865,55.63,45.56,57.13,14.36,39.275,47.375,42.06,92.3684,26.585,56.655,86.47,61.075,57.005,38.13,61.32,26.835,61.575,58.82,4.3003,31.66,65.01,20.39,44.97,70.92,91.59,226.46,70.42,45.32,31.19,95.3325,81.93,52.985,34.21,49.075,38.635,4684.108
35.9862,97.77,98.341,62.09,95.72,58.76,58.23,126.987,26.66,167.725,740.805,42.09,162.85,44.49,162.745,289.1343,34.66,107.93,62.06,67.28,168.69,31.09,28.4689,43.94,58.69,25.5,52.62,97.19,76.935,31.19,77.89,118.72,42.13,121.6459,27.49,26.88,81.87,758.6,35.04,22.33,88.54,31.28,30.53,90.68,71.6,32.85,55.49,45.63,57.165,14.365,39.24,47.39,42.05,92.48,26.59,56.61,86.555,61.05,56.99,38.12,61.3,26.845,61.64,58.8211,4.315,31.7,65.02,20.391,44.96,70.93,91.6,226.65,70.37,45.3,31.16,95.32,82.05,52.9825,34.26,49.1,38.66,4686.049
35.975,97.82,98.28,62.08,95.765,58.79,58.28,126.96,26.665,167.79,741.03,42.09,162.97,44.54,162.83,289.7,34.65,107.72,62.09,67.24,168.69,31.12,28.51,44,58.72,25.52,52.64,97.22,76.9,31.195,77.88,118.81,42.13,121.63,27.52,26.915,81.9,759.1023,35.04,22.33,88.57,31.25,30.5,90.72,71.65,32.87,55.55,45.66,57.175,14.38,39.28,47.395,42.07,92.6,26.62,56.55,86.63,61.07,57.02,38.09,61.37,26.875,61.61,58.82,4.32,31.7525,65.16,20.4,44.96,71.02,91.57,227.0163,70.37,45.38,31.15,95.46,82.1089,53.07,34.37,49.05,38.64,4687.437
35.86,97.76,98.28,62.08,95.7,58.77,58.23,126.8,26.63,167.91,740.9,42.0998,162.72,44.55,162.89,289.4,34.63,107.66,62.06,67.18,168.63,31.1,28.47,44.005,58.675,25.495,52.61,97.22,76.9,31.16,77.76,118.68,42.1,121.5686,27.49,26.885,81.86,758.61,35.02,22.35,88.58,31.25,30.51,90.58,71.62,32.84,55.5,45.66,57.165,14.38,39.25,47.405,42.06,92.485,26.61,56.53,86.745,61.03,56.9,38.06,61.36,26.86,61.56,58.75,4.315,31.785,65,20.39,44.95,71.02,91.55,226.56,70.28,45.3,31.16,95.43,82.16,53.159,34.4,49.02,38.61,4685.38
35.92,97.7759,98.32,62.08,95.74,58.81,58.1823,126.81,26.64,167.83,740.775,42.0646,162.52,44.6,162.71,289.5575,34.65,107.58,62.09,67.22,168.72,31.11,28.48,44.01,58.68,25.505,52.63,97.25,76.9014,31.16,77.89,118.73,42.14,121.53,27.52,26.91,81.8635,758.75,35.025,22.3242,88.6,31.3,30.55,90.6,71.62,32.87,55.54,45.67,57.21,14.385,39.25,47.455,42.05,92.47,26.6142,56.42,86.87,61.06,56.96,38.06,61.4,26.865,61.56,58.77,4.315,31.8393,64.96,20.385,44.93,71.05,91.6086,226.48,70.255,45.35,31.16,95.41,82.22,53.15,34.48,49.02,38.6,4686.096
35.86,97.745,98.321,62.1,95.77,58.82,58.24,126.23,26.63,167.84,740.68,42.03,162.525,44.64,162.81,289.28,34.65,107.47,62.09,67.27,168.65,31.115,28.47,43.9592,58.67,25.51,52.65,97.23,76.89,31.15,77.9,118.59,42.14,121.55,27.53,26.925,81.82,758.74,35.04,22.3,88.62,31.32,30.5592,90.545,71.62,32.85,55.56,45.69,57.25,14.41,39.241,47.41,42.01,92.32,26.6,56.42,86.64,61.08,56.89,38.02,61.39,26.865,61.55,58.75,4.315,31.82,65,20.38,44.91,71.04,91.59,226.15,70.29,45.37,31.17,95.16,82.22,53.08,34.36,49.02,38.59,4685.486
35.889,97.73,98.34,62.13,95.76,58.84,58.24,126.4275,26.6441,167.76,740.446,42.02,162.58,44.63,162.925,289.51,34.655,107.5,62.07,67.3,168.59,31.12,28.47,44,58.66,25.51,52.625,97.12,76.875,31.14,77.86,118.44,42.15,121.435,27.52,26.91,81.605,758.71,35.04,22.27,88.67,31.31,30.54,90.6,71.6,32.86,55.6,45.69,57.245,14.41,39.24,47.41,42,92.305,26.65,56.495,86.681,61.075,56.86,38.01,61.4,26.8625,61.55,58.69,4.325,31.87,64.99,20.37,44.88,70.95,91.575,226.04,70.38,45.3794,31.17,95.09,82.11,53.1,34.33,49.05,38.57,4684.798
35.93,97.7,98.28,62.1,95.77,58.8,58.21,126.46,26.64,167.91,740.22,42,162.51,44.63,162.98,289.71,34.66,107.77,62.11,67.26,168.555,31.12,28.47,44,58.67,25.52,52.6075,97.19,76.87,31.12,77.85,118.43,42.12,121.3637,27.51,26.9,81.69,758.7305,35.015,22.27,88.66,31.29,30.52,90.53,71.53,32.85,55.59,45.705,57.23,14.4071,39.23,47.405,42.02,92.1,26.61,56.51,86.66,61.07,56.89,38.055,61.39,26.86,61.52,58.68,4.3211,31.9,64.97,20.38,44.91,70.905,91.61,225.88,70.31,45.38,31.17,95.19,82.17,53.11,34.295,49.02,38.575,4684.485
35.96,97.6699,98.25,62.09,95.73,58.79,58.215,126.45,26.655,167.74,739.37,41.96,162.61,44.64,162.93,289.1,34.63,107.7858,62.09,67.27,168.59,31.11,28.46,43.96,58.71,25.53,52.62,97.24,76.88,31.1,77.95,118.38,42.13,121.354,27.505,26.9,81.669,758.71,35.015,22.26,88.69,31.31,30.52,90.59,71.5,32.84,55.615,45.705,57.239,14.375,39.225,47.41,42.02,91.839,26.58,56.55,86.52,61.07,56.89,38.03,61.4,26.865,61.555,58.64,4.32,31.86,64.95,20.355,44.91,70.9,91.5797,226,70.36,45.355,31.14,95.13,82.25,53.16,34.26,49.02,38.57,4683.397
